screen_name,description,location
0ddThomas,"New Account. 
Ra'J😁 
With my sword and shield, I smite shitty stans. 
This gun is for people that shit on Uzi n Carti. 🔫","Louisiana, USA"
Frostburnphoenx,,
WhyMeZz,,
PierreLamouche,Community Manager #geek passionné par #HighTech et #Jeuxvidéo 🎮 #Rédaction #Stratégie✏️ #Photoshop #Photographie 📷 #communitymanager #CM #SEO #SMO,"Paris, France"
MarineKing6,,
micha_dt,,
NerdAlertVG,"All things Video Games! Providing a consistent stream of gaming content, from game reviews, to “Lets Play” videos, fun facts & tips, rumors, and more!",
sfdiepie1,,
CristhianCresp8,alv todo xD,Cochabamba
Alias62219,"HS Players, Bonjour,je suis passionner d'informatique et de jeux-vidéos récent et rétro.",Tain Hermitage
Valkra93,"No es el Metal quien hace a las personas, son estas las que hacen al Heavy","Buenos Aires, Argentina"
ratedprofessorx,Playing gsmes with friends and entertaining the masses.,
Noah43704733,"r.i.p Nipsey 🙏 
I like to callout shit human beings and make ignorant bigots angry 😃😂",
BSkovah,Class of 2021•Sports Prospect•16•5’9•209 lbs•Muscle and Hustle💪•West Memphis High•Football and basketball•former esports prospect,"West Memphis, AR"
hsypeace,,
uyyyyyyyk,,
Explicit_Ego,Gaming Legos Hot Wheels Chevrolet Racing Computers Car Culture Wrc,"Florida, USA"
Lordshahram007,Some guy from Azeroth.,"North Carolina, USA"
BlueKu2,,
pedrito_INmoral,,
glitchybasturd1,"[insert angry goat noises here] authentic taco enthusiast, //fat//, gaming, food and YouTube lover 🤫 Space System Engineer Grad of 2022. but meemmmmm -Cartman","Clearwater, FL"
ThomasAlex1992,,"Attiki, Greece"
Joe95475295,,
TheGladihater,"Hating on everything from games, movies, tech and entertainment.",
ManaBarPodcast,Pending,
Collin_MckoyJr,"Me first, You last💯",
THE_REAL_LMAO_,"""I'm just a guy from Sweden who likes to laugh and make other people laugh. Sharing gaming moments on YouTube with my bros!"" #getpyrounbanned","Minnesota, USA"
KidFachon,#science #gamingfun #gradlife #soccer #runit #liftheavythingsupandown,
ShahilShresth10,"👉I've come to believe that in everyone's life, there's one undeniable moment of change, a set of circumstances that suddenly alters everything.👈",
YourFatUncleBob,,
Mirko48874398,,
raspycee,them / they,Hell
raziel4800,,
Photonically,SUBSCRIBE TO PEWDIEPIE PLEASE! https://t.co/tvdMcOwa3V,
CarmeloMartire,,
lthw69,유튜버/스트리머  Eric Rhee의 비디오스튜디오(Eric Rhee  VIDEO STUDIO)    제작자   - 에릭 리 -,대한민국
Felipe90CFP,...,"Rio de Janeiro, Brazil"
katrinastyx,,Minnesota 
TheWeabooFaxi,Nerd.,Denmark
AdamBen07511914,,
HippieSippy,,
Sniperolic,,
PentisAndrew,,
Maxime_Reoxitof,,
jestersthrone,,"Newport News, VA"
ErrisTwitch,Twitch Affiliate • Gamer Addict • Animal lover • New Broadcaster on https://t.co/YeLCCyvGPU,
Nerdtopia2019,,
MikuhCPH,"❤️❤️24 years old ❤️❤️
Danish ❤️❤️
New in Streaming business!❤️❤️
Variety streamer ❤️❤️","Copenhagen, Denmark"
spiredbread2,Why u care,Somewhere
Gabriel58869258,,
ucarerdi,,"İzmir, Türkiye"
Daniel_FRA,Ingeniero Electrónico y ... todo lo que la gente piense de mi! Amante de muchas cosas...,Colombia
gulylas,,
SwimsToTheMoon,"🤔👉🏾#ChargeOn #KeepPounding #TakeAim #BeTheThunder UCF Photonics Engineer, 2017","Orlando, FL"
PewPewDragonx,Just a guy who likes to play video games and upload them. Hopefully to be a full time content creator in future.,
alexia_depaul,✌🏻,"Struthers, OH"
Nev0yB,,
ITelegram1,Python lover...,Україна
zealadon,,
KrisPiasek,,
Timmybillings1,I do what I do if you don't like it then fuck you to,nowere
azalaon,,
Edwonghau,,
arsorrd,,
Young_Rice_19,Loading....,"Ormond Beach, FL"
thischickens,"Hɪ, I'ᴍ TʜɪꜱCʜɪᴄᴋᴇɴꜱ! Mʏ ɴᴀᴍᴇ ɪꜱ Cʟᴀʀᴀ I'ᴍ 20, ʟɪᴠɪɴɢ ɪɴ ᴛʜᴇ UK I'ᴍ ɴᴇᴡ ᴛᴏ ᴛʜɪꜱ ᴡʜᴏʟᴇ ꜱᴛʀᴇᴀᴍɪɴɢ ᴛʜɪɴɢ, ꜱᴏ ᴘʟᴇᴀꜱᴇ ꜱᴜᴘᴘᴏʀᴛ ᴍᴇ ᴀɴᴅ ᴄᴏᴍᴇ ʜᴀᴠᴇ ᴀ ᴄʜᴀᴛ 💕","England, United Kingdom"
Padadinjones,,
Zacks711,,
LLouG,☠️☠️☠️,
094Trampe,,
Sauron_j,,
DowneyJunior1,,
ryan41501963,,
HarleySpike2K19,"Harley Spike is an Australian based gamer reloaded and ready to fight. Streamer, Overcomer & Supporter of LGBTI Rights.",Australia
mohammedmekelle,,Ethiopia
KalypsooTV,Twitch Affiliate 😲 Professional Boomkin 🙀 Fortnutter 🕵🏼‍♂️ https://t.co/mcszgGWC8m,"Brooklyn, NY"
GherundaM,I am a league of legends player Challenger EUNE atm and i want to be top 100 on EUW server,"Constanta, Romania"
Raczyk1,Jestem raczyk.Raczyk lubi maćka.,"Staszów, Polska"
Dex_002,"a very lonely young human being, with everything you need, wonky opinions, unoriginal tweets and a corrupt sense of humour",Milky Way Galaxy
TheyCallMeTsu,New streamer at https://t.co/IZZgOvvkvQ,"Ile-de-France, France"
LabyrinthOn,⚡️Mi piace disegnare cose⚡️,"Rome, Lazio"
alexdestiny2011,Me gustan lo super heroes de Marvel como Capitan america Ironman dead pool etc también los videojuegos y los comics y el Cine,"Quintela de Leirado, España"
foriul,,Finland
fuczbrooke,trouxíssima,
ferniecab,,"California, USA"
techmylifeup,"All the coolest tech t-shirts, mugs and much more.",
Eskimo568,,
nyphxria,17 | Gamer | Essen ist dein bester freund🍔,"Gummersbach, Deutschland"
channellexxo,,United Kingdom
woodanmusic,hi !  I'm french producer who like cheese & wine... contact : woodanmusic@outlook.com,"Nantes, France"
qwiksilvor,Im special,
GIobalVirus,,"Tegernheim, Deutschland"
Swoogzy,Wannabe dev at @ea_dice working on the @battlefield franchise. This is my own personal account and what I tweet are my own thoughts.,Sweden
JTwining97,"New to posting on twitter/blogging. new account

Games, airsoft, anime, cosplay. basically a big geek. 😂🙈 
Xbox(360/One)/PS(3/4)/PC Gamer
insta- jtwining1997","Barnstaple, England"
oc_chang,CGしてるおじさん/ドイツ製文房具がすき/無印良品がすき/Houdini勉強中/,大東京帝國
nathan_brener,,
Grizzlemain,"27 Year Old Boomer
World of Warcraft Classic
https://t.co/4rvxx8x6Zk","Texas, USA"
BelpoisMaxime,,
OtakuXBlader,Otaku and gamer girl! 😊,
Goodthing11122,#wow #bfa #bilgewatercartel #gobsquad #forthehorde #hearthstone,"California, USA"
funagony,Just ride and fun :),"Москва, Московская область"
sunniestallie,"Writer, EWU graduate, mom.","West Valley, WA"
PuppyChan_,your usual lesbian bitch,Straya bitch
AlexCaughtFire,Content creator on https://t.co/NKFCSLDhjI 🍞 and across the web.,United States
hollo_peter,,
Dismay57653237,,
solkock,#SóVimPelosMémes,
trenershaman,,
diablo2esp,Diablo 2 en español. Estoy en: https://t.co/4bIcrvH6Kl,
soy_gabrhyel,"No es fácil describirse uno mismo, simplemente alguien especial, tómalo como quieras!!",argentina
Burky222,follow @Whatafungguy,"California, USA"
douglasromio,,
GEFsweden,,"Malmö, Sverige"
JilzLisen,"CHEERS, LOVE! THE CAVALRY'S HERE!😄
(A big overwatch fanboy)
(Also a big fan of Assassins creed)",
Ounce064,.,
CynicalGame,Game Reviews with a cynical take for the gamers out there who just want an brutally honest opinion on games,
HHH9286,,
AcceleratorNo0,阿宅,中华人民共和国
burn_m1,,
eshan231,,
AlexMaindonald2,,
Completepug,,
LbsSakura,"An Esports Group Founded by LBS 
League of Legends 
Overwatch",
o_Obrandon_,| Gaming related account |,United States
GilgameshMa,The Gaming Sailor. @praetorianggc community officer. ON DEPLOYMENT - BE PLAYING ONLINE AGAIN IN A FEW MONTHS,Sailing the Raging Mane
linmaru0,,
happywithatwist,,
GDmitriy61,"Gamer, modeler, fantasy-art disigner,",Россия
TrickyPingu,NTU Social Work Student,"Grantham, England"
Riiver41,ゲームが好きです。友達になってください！,
baa_barry,,
TayloreCox,Game Dev @ RIT,"New York, USA"
Belshadow,,
y2Nova,Disappointing myself one tweet at a time.,
Kevinwithtattos,,
1stthh,Art Journal,
a494589939,飞出来看看的菜鸡-。-,
Miggelindo,,U.S.A - U.S.A - U.S.A
Rose_Biscuit_,,Jupiter
92DWR,"Grade 8 Math & Science Teacher 
at Elmwood High
WPG, MB, Canada 


                                                        Views shared on Twitter are personal.",
jacobs_di,,
Lindsay26122812,,
joejoehasfun,"We are a youtube. We play video games and make funny ha ha jokes. Also, our tweets are dank (?) af. Love you, boos.","Sacramento, CA"
mrG00se,"https://t.co/RVsVI5ExjL
Internet Twitch Streamer/Gamer
*Merchandise Link Below",United States
CarsonHudson10,,
dysfunceon,no,
kaygolol,Mostly WoW related tweets & randomness. Oce player,Orgrimmar
BobbyNakagawa9,Akihabara otaku and Editor/writer at Gaming Guide,"Minato-ku, Tokyo"
Conwalogy,19 | @DvateGG | Sport Management student looking to get involved in the world of eSports,"Cleveland, OH"
Alejand69804606,,
Rs2hotSite,"Best sellers - https://t.co/fDZB1Rdekw have the system for players! to buy and sell Rs Gold,fast*cheap*stock!",United States
NotTamwin,"Hello, I'm Tamwin a gaming, and anime fan",The Database
LettuceUsPurge,Gaming news. That’s all I’m here for 😂,"Summerville, SC"
xGHOSTx1523,Order your gaming chair and desk now!! https://t.co/uAgNaOphqD,"Indianapolis, IN"
ChrisMc29584526,I'm good at everything,
corbytheking,Former Texan now Bostonian. Just a country boy in a big city.,"Boston, MA"
Crynitix,"Hey, I'm Sky. I play video games.",
SmothyxD,Nichts,Rollstuhl
MuriloL08967451,,
tkwisteria0809,Adult,
xargeras,не умеешь делать чарджи - не берись.,
youroverdose12,I just write quotes for the broken and open minded feel free to dm me if you need advice or just to talk,Trapped in darkness
Haruko_Mukami,,Germany
uwu_minho,💌,
CustomerAbused,,
F7xx5,,
dattebayoyaknow,개새끼,
Kingkhan801,,"Washington, USA"
3rdOrderTaylor,:),
ning02328558,videogame,
LanceWilcoxx,,"San Diego, CA"
inicolast,"Passionate about tech 🤖 , road-trips🎒 and sailing ⛵️business intelligence analyst and developer","Montréal, Québec"
_CHEETOSx,I’m here to fight the libs!,
LokiyoJ25,"¡ Hey Joe ! ✌️😎
https://t.co/Z6yLvMH1r1
https://t.co/c6wjwv6LJt
https://t.co/dDUzNI8Mf3
Habla... Juegas???",Akí... Online
TwoTokesKittahz,Just a stay at home Dad that streams on mixer!!,Canada
KingAaron_99,,
Victorcruise7,,
Avlis_01,,Brasil
mf_satanic,"Pleasure to me is wonder - the unexplored, the unexpected, the thing that is hidden and the changeless thing that lurks behind superficial mutability.",
Gaminggarde,Professional Crusch Lulu and Elora supporter.,"North Carolina, USA"
CollinJWall3,Life is just like a box of chocolates. I'm alergic to chocolate. oof,"Wenatchee, WA"
Pleckasaur,,
Shikokubo,🐾Theo | 24 | ♂️| Digital Illustrator | Gym Doggo,"Hawaii, USA"
aaron_stone777,I am a streamer just looking to entertain as many people as possible! let's have some fun,"Pocatello, ID"
Pale_Nightelf,World of Warcraft and tears,"California, USA"
AveryBedford,Gaymer 🎮 A complex individual.🏠DFW,Out of this World 💫🚀🤯
kike_fenix,"LVL 23
Ing. Sistemas Computacionales, escritor frustrado, pro gamer fracasado e intento de programador con sueños rotos de futbolista","Monterrey, Nuevo León"
8hc9FnduNNtehHO,天地之法，执行不殆，即便没有国家的依存,
Elizz_19t,¡¡¡Grita para mi cariño!!!,"Ecuador, Guayaquil"
Fingerz13Robin,ASK ME,
RuthyTTV,https://t.co/ec16PPN0nc,
_Chris_Mathews,,
odisea826,"La locura justifica la creatividad, vivo inspirada ... aunque a veces más distraida xD mucho jeje .","Callao, Perú"
BlivenBen,Imma bout to get disrespectful in this motherfucker,
jonmsmall,,
DeputyPaige,"Hello! I'm Paige - Freelance digital & fiber artist & Uber driver & Ally, with 2 long furred cats.
  🐱🐱🚗🎨👩🏽‍🎨🌈","Winston-Salem, NC"
m_a_t_t__w,🐀🐀🐀🐀🐀 | 👨‍❤️‍👨,Rhode Island
Jessica71421566,I do most things on accident lol,
DEESUL_,,
Curt09238735,I make minute rice in 56 seconds,
Rdiger02746037,,
day_lyndon,"Lover of Memes, Video Games, and Animals","Alberta, Canada"
TheLeslieGail,Writer • #PitchWars 2018 Mentee • Baker of Things • Cupcake Addict • Ravenclaw • Would rather be in Disney World,"Austin, TX"
KBopoh,,Australia
MooreaWoW,,
corpshadow303,,
JesseGo89721383,,"California, USA"
RowanFwr,Técnico em Mecatrônica Otaku Nerd,"Santo André, Brasil"
Metal_Chris121,"I am a music enthusiasts and I like .Attila ,etc. and other bands.",
JohnRumler1,,
misslucyhelen,,"England, United Kingdom"
ImogenCholewin1,I like cats and World of Warcraft,
fda_silvag,,
fairycaked,"~mercy&ana 🧁 diamond, pc 🌸 she/her 🍑~",
BiigBriina,Your fav emo sailor moon wannabe,Chicago
patrick57449519,,
iajag,Go you Panfas,"Sydney, New South Wales"
UnknownDemonz,I'm just your normal teenage guy that has no idea what's going on.,"Texas, USA"
86_joemomma,,"Bossier City, LA"
RolandScarlet,I like stuff,
RileyMonster89,"Art, RPGs, IT, repeat.","Bellingham, WA"
Ha11eck,,"Bloomington, IN"
AlquiG,"Friki, otaku~ I love Ilustrations, Bara, Anime, Videogames and Sci fi!, Pokemon, digimon and more things!. I'm an Industrial Designer x3. De Manizales!",Bogotá
mary_lionheart,"Gamer, spiritual ascendant, healer trying to make a difference in the world.","Wisconsin, USA"
biglou1231,,Algérie
SoulCrisx,die in life~,
kosealt,,Canada
anderson_316,"Estudando Ciência da Computação, ou seja sou louco.",Everywhere and Nowhere
AdrianA09927753,I like to game on,
Russell10158847,,
Anniegump,,
Scully64,"#NorCal Army brat/ArmyMom proud 2 bf by @ericbolling @wwwbigbaldhead, @DeneenBorelli @RealJamesWoods @JamesRosenTV @BretBaier @kevincorke @cvpayne @DineshDSouza",Bachelors in Criminal Justice
AustinRoth16,,
everymaru,,
TheMaxRide12,casady kment,
cmhowerter8,stay groovy kids,
mtp93,,
CafeYetti,The best spot for food within at least 20 feet!,"Saint paul, mn"
ErenOwlet,20+ | Fandom Twitter (VLD • P5 • BnHA • Etc) | icon by @ZeroNoctem,New Jersey
kayla_gedeon,I’m a Shadowhunters fan and a chilling adventures of Sabrina fan and I love criminal minds and playing world of Warcraft 😊,
gjd1994,,"Pulaski, NY"
Xultanax,"Interests in learning new things, evolving as a professional, being a great mom all to the tune of an amazing personal soundtrack.","Boston, MA"
DevonInumimi,I’m a furry artist who loves Pokemon and World of Warcraft,
TheDomenoEffect,,
RCompton21,That’s the way it is…,
creamed34,,
Openlattesteve_,"Hey, I'm a guitar player. That means I know my way around a G string.","Illinois, USA"
BWong29,,
KariLynn324,I am me.,600ft above sea level.
jambiwind,i tweet about cosplay/writing/video games/prog metal/body positivity/intersectional feminism/bisexuality/anxiety,"Hampton, VA"
Kamo44787341,"Physics, art, music, animals❤",
Corsair_gamer,,
hud253,,
s_elko,Membership Manager at @AMSAProMover,
Infernalista,,
allie_walrod,,
gregranger87,,
karenruby77,,"Arnold, Missouri"
marcandrec,,
Zaroch92,,België
TerroDark98,I am TerroDark. Keeper of energy drinks and lover of metal 😈🤘,United States
Rosemary38101,,
jacob_amond,,
AngelPetoO,"Ingeniero Químico, neohippie, viajero, trapeólogo.",Coatza Beach
maribelleger,,
Widghet,,
Itsholleywoodtv,,
OliverChristie,"AI Consultant, Futurist and Speaker. #ArtificialIntelligence #ai  #speaker",New York
crematus,Oog,oogland
nearlighter,,
Clarkfranklin,,
jdkrt,,
roadw2k,,"South Carolina, USA"
bloch8069,,
vincewu91,,
ValOfWarcraft,"writer, wow player.

val.of.warcraft ➡️instagram","Phoenix, AZ"
cabaute,"Product Mgr, gardener, fickle crafter, armchair activist, navel gazer, geek & mostly happy person (unless I'm hangry). She/her.  🌊https://t.co/CFAcHIdKeH",
TheElderStunt,"Loves Halo with passion. Loves America also, lives there so it makes sense. All opinions are not my own. They're yours. Trying to write books. Does YouTube.","Earth, Sol"
AustenDietrich2,,
games_nin,"Twitch Affiliate. 
Call me Nin! Mom, wife, artist, gamer. 
https://t.co/74q57xS8Qc",
Mirya_Leigh,,
Eben11509140,,
KristinaLBooth1,,
TheOnlyHoody,,
306Rugby,Canadian Rugby Training Program for youth players based in Saskatchewan.,"Saskatoon, Saskatchewan"
BrandenGriffit7,Insta @brand_griffiths,
LCampacci,#Advogado. #mediadordeconflitos. #Estadista #Esquedistasseguemesquerdistas #Comunadecarteirinha #DireitosSociais,São Paulo
Pitercios25,"Estudiante ingeniería civil en minas #UDD
cofundador del Mining tech club UDD",Stgo
antonis_varelis,,"Rhodes, Greece"
next_bold_move,"Lawyer, feminist, bookwyrm. KU basketball fan. Ally. Ravenclaw. Cat-mom. Lots of politics, a little bit of sports. Does not suffer fools gladly. She/her.","Eugene, OR"
zyah11,,"Kansas City, MO"
Twaatsi,Trade link : https://t.co/GoC6caYItz,Grønland
Richard34838930,pfft,
d_sullivant,Politics Movies Politics Politics Politics History Politics,"Florida, USA"
InvDisorder,"Producer, Nursing student",
dgrigsby,"Gregarious Artistic Technologist,
Software Integration Architect,
Software Developer, 
Web Developer, 
SQL Developer, 
Consultant, Author","Indianapolis, IN"
t_a_sol,,
roshgard,,
nickrando2,"Rides bmx, love the flyers",PA
morbidmetal84,,
LinnartzMarci,,
JaiMarrero,,
larissagkurz,"Self-proclaimed grammar buff, Star Wars supporter, & occasional journalist. Shamelessly addicted to Starbucks, but has no regrets about it.","Moose Jaw, Saskatchewan"
randal_musk,,
Lord_of_Detroit,,Detroit
AkaAndrxw,,
_beaturisu,"☽ Void-Elf, mistress of the Shadows, surviving boldly to the whispers of N'zoth |  Illustrator | BR ☾",
alaanquintero,,
Seairra_Rexen,Hello im Sea this is my SL Twitter all is ic here unless in (( )) then it is ooc,
dusk_wood,Fen | Artist/Writer/Musician,New
AshMaczko,"Writer/creator of Squarriors and Cigarettes & Carrot Juice, and lead game developer at Cold War Inc.","Chicago, IL"
Dellogoen,🤣🤣,United States
A_Cleveland87,"I am a teacher. I also hold a B.A. in Child & Family Studies. Advocate for women's and children's rights. Enjoy life-long learning, reading, and family/friends.","Ontario, Canada"
miketessmer4,Philippians 4:13,CO/MT
CastIronClimb,,"Boise, ID"
Anelise_R,,"Porto Alegre, RS, Brasil"
tetinhabrzz,,
BrennanChilcutt,,
djshawnmyth,,
GSLarmour,I'm just a guy. Can ya handle it?,Kentucky
Bridgemeister2,texas native!,"Austin, TX"
LatishaHoyland,,San Jose/ Morgan Hill
Ktraytray17,,
JennLocke15,,
kkgamer13,I'm a just a person who loves games and is always happy to make friends i also have a temper so ya.I have a channel.,nearest fridge full of food XD
Script30555702,Robin main | projected #1 player in Indiana,"Indiana, USA"
branceydraws,Aspiring art Dwagon | Maybe a bit gay | Lil' bit dead inside sometimes | SFW artist for now!| FA https://t.co/Cgn58KVsnj,"Kingston, NY"
MrsAugury86,Amber Price,
pkatarn,"Gamer, Fan-Fic Writer, Part-time Rolelayer, Full-Time music lover!",
Pphannypackk,I work at Zulu's Board Game Cafe and when im not working im playing games and streaming =),"Seattle, WA"
KyleRoane1,,Indiana
jnort051,,
ALEXVARGASPI,,
Yayng_MoonGuard,The Priest of the Feast,Moon Guard
TheKingsmuth,"I'm Archie. Mentally disabled. T-day: 4/20/2018. Afro-Latino. Also, commie trash. They/He. Goodest boye. Welder in training.","Kentucky, USA"
Fiaherart,"She/her, 19 y/o, ♌~ I draw World of Warcraft and Fire Emblem ~ Commissions: Closed ~  ICON BY @kittycatkissu
Nyx Fire Emblem Stan and
Oc Enthusiast",United States
Fedde7,,"Asunción, Paraguay"
TheMindOfChas,,United Kingdom
FrostFusion2,"Small Streamer/New Music Producer 
Come check out the stream! https://t.co/9xGgdGJ2dv",
Chuckmorris85,"Software Development, Married man, and gamer","South Carolina, USA"
MasonTorr,,"Broomfield, CO"
Hawfmaverick,,Texas
Thebombarian,"I'm a major gamer. I've played almost every genre of video games, but i also draw art in my spare time. This includes ocs, fanart, and personal artwork.",
CherrybellaXXX,"It's really me.. I'm back!!!!!! Needed a fresh start. :P

Cherry Ferretti at a new",CA AZ TX 
Turnki,,
HiNu_793,,
Dwhitet8,,
MARVELgurrl,"don't ask, and I won't tell","Ohio, USA"
Pierpazzo89,Fansubber @italiansubs,
Jara51298527,,
missdevin18,I am a professional social worker.  I care about others and want to see the world become a better place.,United States
OhThatBox,A diferencia de algunos de sus contemporáneos no parece tener mucho talento ni demasiadas ganas de trabajar,"Bogotá, Colombia"
arynnrose,Wife // Mom // Gamer // Bookworm,"Palm City, FL"
ashhleerogers,,
RIPGaming2015,,"Jacksonville, IL"
sunnyrandhawa99,,
archiejc33,,
tandj390,,
Vestorsan,,"Metropolitana de Santiago, Chi"
ccwizards,,"Round Rock, Texas"
StvFlynn,,
EnGiMz,🇳🇱🇫🇷 @FACEIT @ESEA @LeagueOfLegends @Blizzard_Ent  @OldSchoolRS,Belgium
MarkAntonyDias1,,
danig501,,
EvanWoodall4,Big oof,
Pray4Snake,Just your everyday sethrak looking for some playable snakes in WoW.,Vol'dun
DTsagareli,,
Jesus59970025,,
Wickedevile,"Introvert ~ Nerd ~ Gamer ~ Hopeful Romantic ~ Rebel Child ~ Lone Wolf
It was in love I was created, and in love is how I hope to die.
INFJ",
Kurdo26740777,Gamer,Germany
NPleysteys,"Everything from Game Trailers , Walkthroughs , Let's Plays , Funny Moments & Previews",
BenDixo83181453,,
Ari60141999,I have no clue what to put here... Soo yeah....,
acrgc,"O meu nome é Dejair , facinho de confundir com João do Caminhão .",Brasil
midwestg0th,concept artist // illustrator // slavic bard who lives in the sewers (they//them),"Los Angeles, CA"
MaximeRensonnet,,
WakingReveries,,
Benyccio,,
foxygrandma03,,United States
stillstellung,,
giovanna_tejeda,"R i l a k k u m a 🐻

FOR THE HORDE 🔥",
Ricardo51413751,yes,
sylvanpriince,Not usually active. Art isn't mine.,Site 19
Lolicon_bill,,
qabico_,🦉~ 🖥️🖱️~ 📖 ~💅,"Poitiers, France"
Johnsonbot100,"Hi, I'm a person.",United States
ElfWithNames,"Main Junkrat aqui, otário",Amino
NickSayRelax,Don't do it.,NYC
paablomarrero,,"Islas Canarias, España"
GraceOrlando9,I am just me.,
Rellikhcaor,,
holydaytab1,,
fB7CpYhaiROCUUT,None can challenge me,People's Republic of China
Michael74647415,,
OjoLlora,,
gameynewscom,"Worlds first interactive gaming blog site that rewards you for engaging with our site in a fun way. We will cover PC games, igaming, esports, loot and more",
tetoA20,,
JOK3YY,"| Professional Laugh-Maker | | Marvel Nerd | | Creative Writer, Fresh YouTuber | | Voice Impression Artist | | I Lower Expectations | |Creator of Raw Lolz |",| (PA)- I do Impressions |
SandyyChans,"Entertainer, Youtuber, affiliated twitch streamer, Gamer, Singer & Dancer. Owner of @KittenStarUHC. @DannyDinoGamer is my dino king 7/12/18",FC:2080-0045-9980
1uizf3rnando,"""Plaudite, acta est fabula.""","São Paulo, Brasil"
0xnero,"Video games, edm, cosplay, star wars, Marvel, Dark elf wizard, Mexican food, Starbucks. Just a few of the things to describe me. Twitch and Instagram zeroxnero",
CorreaVivien,,sao paulo
tdaz51,"Hi im a youtuber on youtube im a kid friendly,and funny youtube channels if a video is not kid friendly i put it in the title the channel name is TDAZ51Gaming",
paul_winkle,,
bastianppj,,
JorgeSilverioG1,"Un fan de la literatura fantástica , los mangas y la cultura asiática en general.",
DiSantos99,Desenhista e roteirista de Quadrinhos independentes 🃏,"Fortaleza, Brasil"
Candice86335911,,
alfredocoa2011,,"Caracas, Venezuela"
angusyoung1989,"Economista, independientemente de lo que digas o pienses, no me importa... fumate un cerro!",Venezuela
fekinho1335,m,"Madaba, Hashemite Kingdom of Jordan"
BobPhill15,,
graveflower11,,
DaniellaCarrrr,А кому щас легко ? 🚬🐀,
NotoriousCartel,Independent Record Label. Tastemakers. Trendsetters.,
o0isaca,,
SoSethrak,"Official Support our Sethrak Twitter • We are here to support Sethrak as an Allied Race in World of Warcraft! 
🙏4⃣🐍
Discord: https://t.co/c3bi397SFE",Voldun
IstAlien,👽 Believe...,
AdrickD2,,
nikolimao,Todo mundo vem me dizendo o que acha de mim nos últimos meses. Talvez seja a hora de eu dizer o que eu acho deles #FALL🇺🇸,"Detroit, MI"
limpinglizard1,Streamer on Twitch! Come check me out! Mostly Hearthstone streamer may branch out !,"Florida, USA"
MathuinDubh,"I’m Scots-Irish, I drink John Powers , and love The Red Sox, nuff said.","Fullerton, CA"
Charlie43611007,Add Me On Instagram @Charlie_101214,Where You Don't
CribleyK,,
Pantoja24810590,,Estados Unidos
Christi62053907,negro,
NadaDaVida3,,
marleighking,18,"South Carolina, USA"
Alex40991054,,
SnakierWeevil42,,Canada
picarddavid6,,
BaezaThis,Get out with your Pestilence.,"Palmdale, CA"
Ernesto50924841,,"Ceres, CA"
Isa25704217,Hi,
jmguerrero99,"Nothing is true, everything is permitted
Creed's maxim",
Pantelakisgeo,,
LuismaBR,"""Sé también que es tan imposible que el vulgo se libere de la superstición como del miedo."" -Spinoza | #Sistemas | #Informatica","Caracas, Venezuela"
BrahanCortez,Cule de corazón,
regentstrife00,Marine Corps guy. Working on getting out. Looking to get started in the streaming community for fun and new people! Come by and chill https://t.co/8ovKut9rFB,"South Carolina, USA"
Armand7271,,"Secunda, South Africa"
King_Sandwich14,I hate epic games store so much I'm shacking,"Port Dickinson, NY"
Mren901,Just a 29 year old trans pan gamer girl trying to get through this daily struggle called life,
Rehzerehzy,,
Kyjuun,@PvKyjuun l @FoxIyu_ 💕 l Panpan l Je suis une e-girl (gros j'main sup) l Lucio c'est mon soft boi 💚,"Morbihan, Bretagne"
FreedonGirI,É... deu merda.,"Rio de Janeiro, Brasil"
gaming_covenant,Gamers that have come together to create a fun community through co-op costreaming on twitch.,USA
ecluttspetty,,
AsiaChamdler,,Somewhere
Stuff1e1,,
DatTruong17,,"Espoo, Suomi"
MariusBjerke3,,
Sassafras1521,,
SamAverland,,Sweden
Aviastru,15 | ♥️@noelleisabug,"Rhode Island, USA"
Diego80361010,Meu canal= https://t.co/dfHziPJesD,
Scintillia_1,"Psychology Student (undergrad. BSc (Hons), Glyndwr University. Working upon Dementia.",Wales
waenstyle,Griff aka waenstyle,
Nikolay29211,I want to be open-minded. Now I am too shy. I want to meet much people and want to have a good relationship.,"Vladivostok, Russia"
ArvziiYT,Widow main lol,"Indiana, USA"
Badi14627626,,
rchhuff79,,
Colton69692890,,
alyssamorganc,"Spaghetti, again? 🍝","Ohio, USA"
Dumpple,"∆ DA COD GOD ∆

YT: https://t.co/y1cd3HGIQu",United States
mightyahchoo,"Xbox live gaming account, just messing around",
LucasCo45784872,"Eu sou apenas um garoto de 12 anos que gosta de jogar, gravar vídeos e trazer notícias de games ao público.","Espírito Santo, Brazil"
zTobuu,,
RGNDarknight,Twitch Affiliate. I absolutely love playing with my community and having a chance to talk and interact with everyone. Need a friend or a squad mate I got you.,RGN Crib
RD_Yoscar_KINGS,,
Neifnad,,
jiteRss,,"Florida, USA"
_deggial_,,"Vancouver, Canada"
LuisUseche1590,,
AggroMunkey,Life's a Garden....Dig it,
gfytilt,,
sunbeams2018,"Just a silly person who loves video games, art and electronic new age music.",Cald
Elephr0,I'm Justin ✌ New to streaming and creating content. Just upgraded my setup and I'm ready to go! Come check me out!,"Pennsylvania, USA"
evanmt12345_may,"follow4follow4follow4follow

youtuber/AndroidGamer/15Subscribers/tweetsEveryday/more","London, England"
Alexis090282,,
